siren,name,description,start_date,status,JuridicalSituation,TypeOfEnterprise,JuridicalForm,JuridicalFormCAC,activity,contact.address,contact.phone,contact.email,contact.TypeOfAddress,contact.MunicipalityFR,contact.Denomination
0550.479.660,Eidel,,9/4/2014,IN,Situation exceptionnelle,Personne morale,Entité nationale,,,02871 Stephen Terrace,124-313-9648,,REGO,Weepanapi,Meetz
0550.479.654,Twimm,,9/4/2014,RE,Situation normale,Personne physique,Entité nationale,,,9 Lakewood Crossing,703-515-7123,,DOM,Changqing,Trupe
0550.479.654,Edgeblab,,9/4/2014,IN,Situation exceptionnelle,Personne physique,Entité nationale,,,038 Harper Center,385-904-6510,,REGO,Piława Górna,Buzzbean
0550.479.652,Jamia,,9/4/2014,AC,Situation exceptionnelle,Personne physique,Entité étrangère,,,6 Jackson Avenue,687-722-6398,,REGO,Vichuga,Plajo
0550.479.652,Kwilith,,9/4/2014,AC,Situation exceptionnelle,Personne morale,Entité étrangère,,,58546 Heath Park,793-468-4918,,REGO,Carabamba,Wordtune
0550.479.653,Rhyloo,,9/4/2014,RE,Situation exceptionnelle,Personne physique,Entité étrangère,,,4748 Grim Junction,758-236-3505,,REGO,Épernay,Meevee
0550.479.652,Skimia,,9/4/2014,RE,Situation normale,Personne physique,Entité nationale,,,1986 Hanson Plaza,150-351-5219,,DOM,Huazangsi,Innotype
0550.479.651,Tavu,,9/4/2014,PR,Situation exceptionnelle,Personne morale,Entité nationale,,,1 Mcbride Trail,618-318-9331,,REGO,Xinhe,Divavu
0550.479.659,Skippad,,9/4/2014,AC,Situation exceptionnelle,Personne morale,Entité étrangère,,,335 Hayes Road,173-889-9725,,DOM,Yangjiao,Twinte
0550.479.655,Meemm,,9/4/2014,PR,Situation exceptionnelle,Personne physique,Entité nationale,,,78 Heffernan Terrace,266-296-6090,,DOM,Portsmouth,Mybuzz
0550.479.659,Dabtype,,9/4/2014,PR,Situation exceptionnelle,Personne physique,Entité étrangère,,,9756 Texas Alley,688-533-1186,,REGO,Wyszki,Leexo
0550.479.657,Oozz,,9/4/2014,AC,Situation exceptionnelle,Personne morale,Entité nationale,,,6402 Oneill Way,765-670-3932,,REGO,Charxin,Devpulse
0550.479.655,Voomm,,9/4/2014,PR,Situation exceptionnelle,Personne morale,Entité étrangère,,,8961 Northland Plaza,393-934-6590,,DOM,Herrera,DabZ
0550.479.656,Realbuzz,,9/4/2014,AC,Situation normale,Personne physique,Entité nationale,,,33704 Packers Parkway,882-527-6881,,DOM,Pinagsibaan,Meemm
0550.479.658,Digitube,,9/4/2014,AC,Situation normale,Personne morale,Entité nationale,,,8803 Anhalt Court,698-239-5025,,REGO,Nantes,Trudoo
0550.479.655,Realcube,,9/4/2014,PR,Situation normale,Personne morale,Entité nationale,,,65 Claremont Center,921-540-2117,,DOM,Magistral’nyy,Omba
0550.479.651,Yodoo,,9/4/2014,RE,Situation normale,Personne physique,Entité nationale,,,84169 Jay Crossing,681-371-4771,,DOM,Kampunglistrik,Yamia
0550.479.653,Yodo,,9/4/2014,IN,Situation exceptionnelle,Personne morale,Entité étrangère,,,427 Londonderry Court,877-143-8708,,REGO,Bolhos,Fiveclub
0550.479.657,Feedbug,,9/4/2014,IN,Situation exceptionnelle,Personne physique,Entité étrangère,,,77068 Porter Drive,616-932-1623,,REGO,Osieczany,Twiyo
0550.479.659,Oloo,,9/4/2014,IN,Situation normale,Personne physique,Entité étrangère,,,69960 Mitchell Hill,248-604-1803,,REGO,Suncheon,Quimm
0550.479.655,Voonte,,9/4/2014,AC,Situation exceptionnelle,Personne physique,Entité étrangère,,,81 Portage Place,495-489-5406,,DOM,Donggaohuang,Voonder
0550.479.659,Tagfeed,,9/4/2014,PR,Situation exceptionnelle,Personne physique,Entité nationale,,,49055 Cherokee Road,683-871-1836,,DOM,Gachalá,Babbleopia
0550.479.651,Zoomzone,,9/4/2014,RE,Situation normale,Personne physique,Entité étrangère,,,3 Autumn Leaf Trail,253-300-5201,,REGO,Dzięgielów,Jayo
0550.479.652,Meeveo,,9/4/2014,PR,Situation exceptionnelle,Personne morale,Entité nationale,,,55846 Valley Edge Center,972-408-8299,,REGO,Pulau Pinang,Kwimbee
0550.479.654,Zoonoodle,,9/4/2014,RE,Situation exceptionnelle,Personne physique,Entité étrangère,,,1681 Carpenter Terrace,241-484-2150,,DOM,Outeiro de Polima,Tambee
0550.479.657,Teklist,,9/4/2014,IN,Situation normale,Personne physique,Entité nationale,,,568 Becker Plaza,508-188-7494,,DOM,Lazaro Cardenas,Chatterpoint
0550.479.653,JumpXS,,9/4/2014,AC,Situation normale,Personne physique,Entité étrangère,,,7655 Haas Junction,939-803-2333,,REGO,Kupiskis,Snaptags
0550.479.658,Divavu,,9/4/2014,PR,Situation normale,Personne physique,Entité nationale,,,14 Oneill Street,173-329-6481,,REGO,Huangshi,Yambee
0550.479.651,Zoomlounge,,9/4/2014,RE,Situation exceptionnelle,Personne morale,Entité nationale,,,91 Merchant Park,513-366-2473,,REGO,Zebrzydowice,Photobean
0550.479.651,Thoughtbridge,,9/4/2014,PR,Situation normale,Personne morale,Entité étrangère,,,579 Sachtjen Terrace,234-984-3117,,REGO,Rust’avi,Bluejam
0550.479.656,Kamba,,9/4/2014,IN,Situation normale,Personne morale,Entité nationale,,,37464 Sullivan Trail,638-694-9481,,REGO,Arsenal,Realbridge
0550.479.651,Jaloo,,9/4/2014,AC,Situation exceptionnelle,Personne morale,Entité étrangère,,,354 Farwell Drive,235-335-9301,,REGO,Erdaojiang,Trilith
0550.479.658,Linkbuzz,,9/4/2014,IN,Situation exceptionnelle,Personne morale,Entité nationale,,,1 Maple Wood Road,440-225-6699,,REGO,Ludwin,Omba
0550.479.655,Lazz,,9/4/2014,PR,Situation normale,Personne physique,Entité étrangère,,,44 Mendota Drive,382-514-4325,,REGO,Madolenihm Municipality Government,Agivu
0550.479.660,Agivu,,9/4/2014,PR,Situation normale,Personne morale,Entité nationale,,,1 Eagle Crest Street,604-948-1219,,DOM,Torrevieja,Twimm
0550.479.657,Vimbo,,9/4/2014,PR,Situation normale,Personne morale,Entité nationale,,,710 Blackbird Park,614-110-3254,,DOM,Gaofeng,Zoomzone
